sector,subsector_L3,subsector_L2,subsector_L1,vehicle_type,technology,CES_node
trn_pass,HSR,HSR_tmp_subsector_L2,HSR_tmp_subsector_L1,HSR_tmp_vehicletype,Electric,feelt_p_sm
trn_pass,Passenger Rail,Passenger Rail_tmp_subsector_L2,Passenger Rail_tmp_subsector_L1,Passenger Rail_tmp_vehicletype,Electric,feelt_p_sm
trn_pass,Passenger Rail,Passenger Rail_tmp_subsector_L2,Passenger Rail_tmp_subsector_L1,Passenger Rail_tmp_vehicletype,Liquids,fedie_p_sm
trn_pass,Passenger Rail,Passenger Rail_tmp_subsector_L2,Passenger Rail_tmp_subsector_L1,Passenger Rail_tmp_vehicletype,Tech-Adv-Electric,feelt_p_sm
trn_pass,Passenger Rail,Passenger Rail_tmp_subsector_L2,Passenger Rail_tmp_subsector_L1,Passenger Rail_tmp_vehicletype,Tech-Adv-Liquid,fedie_p_sm
trn_freight,trn_freight_road,trn_freight_road_tmp_subsector_L2,trn_freight_road_tmp_subsector_L1,Truck (0-3.5t),Liquids,fedie_f_sm
trn_freight,trn_freight_road,trn_freight_road_tmp_subsector_L2,trn_freight_road_tmp_subsector_L1,Truck (0-3.5t),NG,fegat_f_sm
trn_freight,trn_freight_road,trn_freight_road_tmp_subsector_L2,trn_freight_road_tmp_subsector_L1,Truck (7.5t),Liquids,fedie_f_sm
trn_freight,trn_freight_road,trn_freight_road_tmp_subsector_L2,trn_freight_road_tmp_subsector_L1,Truck (7.5t),NG,fegat_f_sm
trn_freight,trn_freight_road,trn_freight_road_tmp_subsector_L2,trn_freight_road_tmp_subsector_L1,Truck (18t),Liquids,fedie_f_sm
trn_freight,trn_freight_road,trn_freight_road_tmp_subsector_L2,trn_freight_road_tmp_subsector_L1,Truck (18t),NG,fegat_f_sm
trn_freight,trn_freight_road,trn_freight_road_tmp_subsector_L2,trn_freight_road_tmp_subsector_L1,Truck (26t),Liquids,fedie_f_sm
trn_freight,trn_freight_road,trn_freight_road_tmp_subsector_L2,trn_freight_road_tmp_subsector_L1,Truck (26t),NG,fegat_f_sm
trn_freight,trn_freight_road,trn_freight_road_tmp_subsector_L2,trn_freight_road_tmp_subsector_L1,Truck (40t),Liquids,fedie_f_sm
