title;start;cm_bioprod_histlim;cm_BioSupply_Adjust_EU;BioImportTax_EU;cm_bioenergy_tax;cm_earlyreti_rate;cm_implicitFE;cm_implFETarget;cm_INNOPATHS_adj_coeff_multiplier;cm_INNOPATHS_adj_seed_multiplier;cm_vehiclesSubsidies;cm_INNOPATHS_adj_coeff;cm_INNOPATHS_adj_seed;cm_INNOPATHS_incolearn;cm_INNOPATHS_inco0Factor;cm_INNOPATHS_storageFactor;cm_INNOPATHS_renewables_floor_cost;cm_indst_costDecayStart;cm_indst_H2costDecayEnd;cm_build_costDecayStart;cm_build_H2costDecayEnd;cm_flex_tax;cm_shSynTrans;cm_shSynGas;cm_INNOPATHS_CCS_markup;cm_INNOPATHS_Industry_CCS_markup;cm_CCSRegiPol;c_ccsinjecratescen;c_budgetCO2;CES_parameters;cm_calibration_string;cm_calibration_FE;cm_iteration_max;regionmapping;cm_rcp_scen;cm_iterative_target_adj;carbonprice;regipol;cm_regiCO2target;cm_emiMktETS;cm_ETS_postTargetIncrease;cm_emiMktES;cm_emiMktES_type;cm_emiMktEScoop;cm_emiMktES2020price;cm_emiMktES2050;cm_ESD_postTargetIncrease;cm_ESD_post2055Increase;cm_NucRegiPol;cm_CoalRegiPol;cm_proNucRegiPol;cm_altFeEmiFac;cm_co2_tax_2020;optimization;c_testOneRegi_region;cm_nash_mode;buildings;transport;cm_EDGEtr_scen;CCU;cm_emiscen;cm_INCONV_PENALTY_bioSwitch;cm_startyear;path_gdx;path_gdx_ref
xx_cap_slow_gd40;0;-1;3;1;1.5;0.1;FEtarget;2030.EUR_regi 1.396131;0.5;2;on;off;off;off;apcardiEfft 0.8, apcardiEffH2t 0.675;off;off;0.05;0.1;0.05;0.1;0;0;0;off;off;off;1;1100;load;FE_med;off;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;rcp26;5;expoLinear;regiCarbonPrice;off;2030.year.netGHG 1.337;linear;1;netGHG;on;30;linear2010to2050;8;2;on;on;off;EUR_regi, NEU_regi;30;nash;DEU;parallel;simple;complex;ConvCase;on;9;on;2025;;xx_gd40
xx_cap_fast_gd55;0;-1;3;1;1.5;0.2;FEtarget;2030.EUR_regi 1.396131;0.5;2;on;off;off;off;apcardiEfft 0.8, apcardiEffH2t 0.675;off;off;0.05;0.1;0.05;0.1;0;0;0;off;off;off;1;1100;load;FE_med;off;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;rcp26;5;expoLinear;regiCarbonPrice;off;2030.year.netGHG 0.878;linear;0.805;netGHG;on;30;linear2010to2050;8;2;on;on;off;EUR_regi, NEU_regi;30;nash;DEU;parallel;simple;complex;ConvCase;on;9;on;2025;;xx_gd55
xx_cap_slow_gd55;0;-1;3;1;1.5;0.1;FEtarget;2030.EUR_regi 1.396131;0.5;2;on;off;off;off;apcardiEfft 0.8, apcardiEffH2t 0.675;off;off;0.05;0.1;0.05;0.1;0;0;0;off;off;off;1;1100;load;FE_med;off;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;rcp26;5;expoLinear;regiCarbonPrice;off;2030.year.netGHG 0.878;linear;0.805;netGHG;on;30;linear2010to2050;8;2;on;on;off;EUR_regi, NEU_regi;30;nash;DEU;parallel;simple;complex;ConvCase;on;9;on;2025;;xx_gd55
xx_cap_fast_gd55ets;0;-1;3;1;1.5;0.2;FEtarget;2030.EUR_regi 1.396131;0.5;2;on;off;off;off;apcardiEfft 0.8, apcardiEffH2t 0.675;off;off;0.05;0.1;0.05;0.1;0;0;0;off;off;off;1;1100;load;FE_med;off;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;rcp26;5;expoLinear;regiCarbonPrice;off;2030.year.netGHG 0.489;linear;1;netGHG;on;30;linear2010to2050;8;2;on;on;off;EUR_regi, NEU_regi;30;nash;DEU;parallel;simple;complex;ConvCase;on;9;on;2025;;xx_gd55ets
xx_cap_slow_gd55ets;0;-1;3;1;1.5;0.1;FEtarget;2030.EUR_regi 1.396131;0.5;2;on;off;off;off;apcardiEfft 0.8, apcardiEffH2t 0.675;off;off;0.05;0.1;0.05;0.1;0;0;0;off;off;off;1;1100;load;FE_med;off;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;rcp26;5;expoLinear;regiCarbonPrice;off;2030.year.netGHG 0.489;linear;1;netGHG;on;30;linear2010to2050;8;2;on;on;off;EUR_regi, NEU_regi;30;nash;DEU;parallel;simple;complex;ConvCase;on;9;on;2025;;xx_gd55ets
_____Energy efficiency 2030_____;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
xx_eff_105_gd40;0;-1;3;1;1.5;0.15;FEtarget;2030.EUR_regi 1.20877;0.5;2;on;off;off;off;apcardiEfft 0.8, apcardiEffH2t 0.675;off;off;0.05;0.1;0.05;0.1;0;0;0;off;off;off;1;1100;load;FE_med;off;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;rcp26;5;expoLinear;regiCarbonPrice;off;2030.year.netGHG 1.337;linear;1;netGHG;on;30;linear2010to2050;8;2;on;on;off;EUR_regi, NEU_regi;30;nash;DEU;parallel;simple;complex;ConvCase;on;9;on;2025;;xx_gd40
xx_eff_100_gd40;0;-1;3;1;1.5;0.15;FEtarget;2030.EUR_regi 1.26921;0.5;2;on;off;off;off;apcardiEfft 0.8, apcardiEffH2t 0.675;off;off;0.05;0.1;0.05;0.1;0;0;0;off;off;off;1;1100;load;FE_med;off;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;rcp26;5;expoLinear;regiCarbonPrice;off;2030.year.netGHG 1.337;linear;1;netGHG;on;30;linear2010to2050;8;2;on;on;off;EUR_regi, NEU_regi;30;nash;DEU;parallel;simple;complex;ConvCase;on;9;on;2025;;xx_gd40
xx_eff_95_gd40;0;-1;3;1;1.5;0.15;FEtarget;2030.EUR_regi 1.33601;0.5;2;on;off;off;off;apcardiEfft 0.8, apcardiEffH2t 0.675;off;off;0.05;0.1;0.05;0.1;0;0;0;off;off;off;1;1100;load;FE_med;off;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;rcp26;5;expoLinear;regiCarbonPrice;off;2030.year.netGHG 1.337;linear;1;netGHG;on;30;linear2010to2050;8;2;on;on;off;EUR_regi, NEU_regi;30;nash;DEU;parallel;simple;complex;ConvCase;on;9;on;2025;;xx_gd40
xx_eff_90_gd40;0;-1;3;1;1.5;0.15;FEtarget;2030.EUR_regi 1.41023;0.5;2;on;off;off;off;apcardiEfft 0.8, apcardiEffH2t 0.675;off;off;0.05;0.1;0.05;0.1;0;0;0;off;off;off;1;1100;load;FE_med;off;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;rcp26;5;expoLinear;regiCarbonPrice;off;2030.year.netGHG 1.337;linear;1;netGHG;on;30;linear2010to2050;8;2;on;on;off;EUR_regi, NEU_regi;30;nash;DEU;parallel;simple;complex;ConvCase;on;9;on;2025;;xx_gd40
xx_eff_105_gd55;0;-1;3;1;1.5;0.15;FEtarget;2030.EUR_regi 1.20877;0.5;2;on;off;off;off;apcardiEfft 0.8, apcardiEffH2t 0.675;off;off;0.05;0.1;0.05;0.1;0;0;0;off;off;off;1;1100;load;FE_med;off;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;rcp26;5;expoLinear;regiCarbonPrice;off;2030.year.netGHG 0.878;linear;0.805;netGHG;on;30;linear2010to2050;8;2;on;on;off;EUR_regi, NEU_regi;30;nash;DEU;parallel;simple;complex;ConvCase;on;9;on;2025;;xx_gd55
xx_eff_100_gd55;0;-1;3;1;1.5;0.15;FEtarget;2030.EUR_regi 1.26921;0.5;2;on;off;off;off;apcardiEfft 0.8, apcardiEffH2t 0.675;off;off;0.05;0.1;0.05;0.1;0;0;0;off;off;off;1;1100;load;FE_med;off;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;rcp26;5;expoLinear;regiCarbonPrice;off;2030.year.netGHG 0.878;linear;0.805;netGHG;on;30;linear2010to2050;8;2;on;on;off;EUR_regi, NEU_regi;30;nash;DEU;parallel;simple;complex;ConvCase;on;9;on;2025;;xx_gd55
xx_eff_95_gd55;0;-1;3;1;1.5;0.15;FEtarget;2030.EUR_regi 1.33601;0.5;2;on;off;off;off;apcardiEfft 0.8, apcardiEffH2t 0.675;off;off;0.05;0.1;0.05;0.1;0;0;0;off;off;off;1;1100;load;FE_med;off;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;rcp26;5;expoLinear;regiCarbonPrice;off;2030.year.netGHG 0.878;linear;0.805;netGHG;on;30;linear2010to2050;8;2;on;on;off;EUR_regi, NEU_regi;30;nash;DEU;parallel;simple;complex;ConvCase;on;9;on;2025;;xx_gd55
xx_eff_90_gd55;0;-1;3;1;1.5;0.15;FEtarget;2030.EUR_regi 1.41023;0.5;2;on;off;off;off;apcardiEfft 0.8, apcardiEffH2t 0.675;off;off;0.05;0.1;0.05;0.1;0;0;0;off;off;off;1;1100;load;FE_med;off;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;rcp26;5;expoLinear;regiCarbonPrice;off;2030.year.netGHG 0.878;linear;0.805;netGHG;on;30;linear2010to2050;8;2;on;on;off;EUR_regi, NEU_regi;30;nash;DEU;parallel;simple;complex;ConvCase;on;9;on;2025;;xx_gd55
xx_eff_105_gd55ets;0;-1;3;1;1.5;0.15;FEtarget;2030.EUR_regi 1.20877;0.5;2;on;off;off;off;apcardiEfft 0.8, apcardiEffH2t 0.675;off;off;0.05;0.1;0.05;0.1;0;0;0;off;off;off;1;1100;load;FE_med;off;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;rcp26;5;expoLinear;regiCarbonPrice;off;2030.year.netGHG 0.489;linear;1;netGHG;on;30;linear2010to2050;8;2;on;on;off;EUR_regi, NEU_regi;30;nash;DEU;parallel;simple;complex;ConvCase;on;9;on;2025;;xx_gd55ets
xx_eff_100_gd55ets;0;-1;3;1;1.5;0.15;FEtarget;2030.EUR_regi 1.26921;0.5;2;on;off;off;off;apcardiEfft 0.8, apcardiEffH2t 0.675;off;off;0.05;0.1;0.05;0.1;0;0;0;off;off;off;1;1100;load;FE_med;off;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;rcp26;5;expoLinear;regiCarbonPrice;off;2030.year.netGHG 0.489;linear;1;netGHG;on;30;linear2010to2050;8;2;on;on;off;EUR_regi, NEU_regi;30;nash;DEU;parallel;simple;complex;ConvCase;on;9;on;2025;;xx_gd55ets
xx_eff_95_gd55ets;0;-1;3;1;1.5;0.15;FEtarget;2030.EUR_regi 1.33601;0.5;2;on;off;off;off;apcardiEfft 0.8, apcardiEffH2t 0.675;off;off;0.05;0.1;0.05;0.1;0;0;0;off;off;off;1;1100;load;FE_med;off;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;rcp26;5;expoLinear;regiCarbonPrice;off;2030.year.netGHG 0.489;linear;1;netGHG;on;30;linear2010to2050;8;2;on;on;off;EUR_regi, NEU_regi;30;nash;DEU;parallel;simple;complex;ConvCase;on;9;on;2025;;xx_gd55ets
xx_eff_90_gd55ets;0;-1;3;1;1.5;0.15;FEtarget;2030.EUR_regi 1.41023;0.5;2;on;off;off;off;apcardiEfft 0.8, apcardiEffH2t 0.675;off;off;0.05;0.1;0.05;0.1;0;0;0;off;off;off;1;1100;load;FE_med;off;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;rcp26;5;expoLinear;regiCarbonPrice;off;2030.year.netGHG 0.489;linear;1;netGHG;on;30;linear2010to2050;8;2;on;on;off;EUR_regi, NEU_regi;30;nash;DEU;parallel;simple;complex;ConvCase;on;9;on;2025;;xx_gd55ets
_____Global adjustment cost_____;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
xx_adj_fast_gd40;0;-1;3;1;1.5;0.15;FEtarget;2030.EUR_regi 1.396131;0.25;4;on;off;off;off;apcardiEfft 0.8, apcardiEffH2t 0.675;off;off;0.05;0.1;0.05;0.1;0;0;0;off;off;off;1;1100;load;FE_med;off;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;rcp26;5;expoLinear;regiCarbonPrice;off;2030.year.netGHG 1.337;linear;1;netGHG;on;30;linear2010to2050;8;2;on;on;off;EUR_regi, NEU_regi;30;nash;DEU;parallel;simple;complex;ConvCase;on;9;on;2025;;xx_gd40
xx_adj_slow_gd40;0;-1;3;1;1.5;0.15;FEtarget;2030.EUR_regi 1.396131;1;1;on;off;off;off;apcardiEfft 0.8, apcardiEffH2t 0.675;off;off;0.05;0.1;0.05;0.1;0;0;0;off;off;off;1;1100;load;FE_med;off;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;rcp26;5;expoLinear;regiCarbonPrice;off;2030.year.netGHG 1.337;linear;1;netGHG;on;30;linear2010to2050;8;2;on;on;off;EUR_regi, NEU_regi;30;nash;DEU;parallel;simple;complex;ConvCase;on;9;on;2025;;xx_gd40
xx_adj_fast_gd55;0;-1;3;1;1.5;0.15;FEtarget;2030.EUR_regi 1.396131;0.25;4;on;off;off;off;apcardiEfft 0.8, apcardiEffH2t 0.675;off;off;0.05;0.1;0.05;0.1;0;0;0;off;off;off;1;1100;load;FE_med;off;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;rcp26;5;expoLinear;regiCarbonPrice;off;2030.year.netGHG 0.878;linear;0.805;netGHG;on;30;linear2010to2050;8;2;on;on;off;EUR_regi, NEU_regi;30;nash;DEU;parallel;simple;complex;ConvCase;on;9;on;2025;;xx_gd55
xx_adj_slow_gd55;0;-1;3;1;1.5;0.15;FEtarget;2030.EUR_regi 1.396131;1;1;on;off;off;off;apcardiEfft 0.8, apcardiEffH2t 0.675;off;off;0.05;0.1;0.05;0.1;0;0;0;off;off;off;1;1100;load;FE_med;off;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;rcp26;5;expoLinear;regiCarbonPrice;off;2030.year.netGHG 0.878;linear;0.805;netGHG;on;30;linear2010to2050;8;2;on;on;off;EUR_regi, NEU_regi;30;nash;DEU;parallel;simple;complex;ConvCase;on;9;on;2025;;xx_gd55
xx_adj_fast_gd55ets;0;-1;3;1;1.5;0.15;FEtarget;2030.EUR_regi 1.396131;0.25;4;on;off;off;off;apcardiEfft 0.8, apcardiEffH2t 0.675;off;off;0.05;0.1;0.05;0.1;0;0;0;off;off;off;1;1100;load;FE_med;off;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;rcp26;5;expoLinear;regiCarbonPrice;off;2030.year.netGHG 0.489;linear;1;netGHG;on;30;linear2010to2050;8;2;on;on;off;EUR_regi, NEU_regi;30;nash;DEU;parallel;simple;complex;ConvCase;on;9;on;2025;;xx_gd55ets
xx_adj_slow_gd55ets;0;-1;3;1;1.5;0.15;FEtarget;2030.EUR_regi 1.396131;1;1;on;off;off;off;apcardiEfft 0.8, apcardiEffH2t 0.675;off;off;0.05;0.1;0.05;0.1;0;0;0;off;off;off;1;1100;load;FE_med;off;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;rcp26;5;expoLinear;regiCarbonPrice;off;2030.year.netGHG 0.489;linear;1;netGHG;on;30;linear2010to2050;8;2;on;on;off;EUR_regi, NEU_regi;30;nash;DEU;parallel;simple;complex;ConvCase;on;9;on;2025;;xx_gd55ets
_____Electric vehicles push_____;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
xx_bev_push_gd40;0;-1;3;1;1.5;0.15;FEtarget;2030.EUR_regi 1.396131;0.5;2;on;apCarH2T 0.25,apCarElT 0.25,apCarDiEffT 0.5,apCarDiEffH2T 0.5;apCarH2T 4,apCarElT 4,apCarDiEffT 2,apCarDiEffH2T 2;apcarelt 17000;apcardiEfft 0.8, apcardiEffH2t 0.675;off;off;0.05;0.1;0.05;0.1;0;0;0;off;off;off;1;1100;load;FE_med;off;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;rcp26;5;expoLinear;regiCarbonPrice;off;2030.year.netGHG 1.337;linear;1;netGHG;on;30;linear2010to2050;8;2;on;on;off;EUR_regi, NEU_regi;30;nash;DEU;parallel;simple;complex;ConvCase;on;9;on;2025;;xx_gd40
xx_bev_slow_gd40;0;-1;3;1;1.5;0.15;FEtarget;2030.EUR_regi 1.396131;0.5;2;off;apCarH2T 1,apCarElT 1,apCarDiEffT 2,apCarDiEffH2T 2;apCarH2T 1,apCarElT 1,apCarDiEffT 0.5,apCarDiEffH2T 0.5;apcarelt 21000;apcardiEfft 0.8, apcardiEffH2t 0.675;off;off;0.05;0.1;0.05;0.1;0;0;0;off;off;off;1;1100;load;FE_med;off;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;rcp26;5;expoLinear;regiCarbonPrice;off;2030.year.netGHG 1.337;linear;1;netGHG;on;30;linear2010to2050;8;2;on;on;off;EUR_regi, NEU_regi;30;nash;DEU;parallel;simple;complex;ConvCase;on;9;on;2025;;xx_gd40
xx_bev_push_gd55;0;-1;3;1;1.5;0.15;FEtarget;2030.EUR_regi 1.396131;0.5;2;on;apCarH2T 0.25,apCarElT 0.25,apCarDiEffT 0.5,apCarDiEffH2T 0.5;apCarH2T 4,apCarElT 4,apCarDiEffT 2,apCarDiEffH2T 2;apcarelt 17000;apcardiEfft 0.8, apcardiEffH2t 0.675;off;off;0.05;0.1;0.05;0.1;0;0;0;off;off;off;1;1100;load;FE_med;off;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;rcp26;5;expoLinear;regiCarbonPrice;off;2030.year.netGHG 0.878;linear;0.805;netGHG;on;30;linear2010to2050;8;2;on;on;off;EUR_regi, NEU_regi;30;nash;DEU;parallel;simple;complex;ConvCase;on;9;on;2025;;xx_gd55
xx_bev_slow_gd55;0;-1;3;1;1.5;0.15;FEtarget;2030.EUR_regi 1.396131;0.5;2;off;apCarH2T 1,apCarElT 1,apCarDiEffT 2,apCarDiEffH2T 2;apCarH2T 1,apCarElT 1,apCarDiEffT 0.5,apCarDiEffH2T 0.5;apcarelt 21000;apcardiEfft 0.8, apcardiEffH2t 0.675;off;off;0.05;0.1;0.05;0.1;0;0;0;off;off;off;1;1100;load;FE_med;off;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;rcp26;5;expoLinear;regiCarbonPrice;off;2030.year.netGHG 0.878;linear;0.805;netGHG;on;30;linear2010to2050;8;2;on;on;off;EUR_regi, NEU_regi;30;nash;DEU;parallel;simple;complex;ConvCase;on;9;on;2025;;xx_gd55
xx_bev_push_gd55ets;0;-1;3;1;1.5;0.15;FEtarget;2030.EUR_regi 1.396131;0.5;2;on;apCarH2T 0.25,apCarElT 0.25,apCarDiEffT 0.5,apCarDiEffH2T 0.5;apCarH2T 4,apCarElT 4,apCarDiEffT 2,apCarDiEffH2T 2;apcarelt 17000;apcardiEfft 0.8, apcardiEffH2t 0.675;off;off;0.05;0.1;0.05;0.1;0;0;0;off;off;off;1;1100;load;FE_med;off;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;rcp26;5;expoLinear;regiCarbonPrice;off;2030.year.netGHG 0.489;linear;1;netGHG;on;30;linear2010to2050;8;2;on;on;off;EUR_regi, NEU_regi;30;nash;DEU;parallel;simple;complex;ConvCase;on;9;on;2025;;xx_gd55ets
xx_bev_slow_gd55ets;0;-1;3;1;1.5;0.15;FEtarget;2030.EUR_regi 1.396131;0.5;2;off;apCarH2T 1,apCarElT 1,apCarDiEffT 2,apCarDiEffH2T 2;apCarH2T 1,apCarElT 1,apCarDiEffT 0.5,apCarDiEffH2T 0.5;apcarelt 21000;apcardiEfft 0.8, apcardiEffH2t 0.675;off;off;0.05;0.1;0.05;0.1;0;0;0;off;off;off;1;1100;load;FE_med;off;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;rcp26;5;expoLinear;regiCarbonPrice;off;2030.year.netGHG 0.489;linear;1;netGHG;on;30;linear2010to2050;8;2;on;on;off;EUR_regi, NEU_regi;30;nash;DEU;parallel;simple;complex;ConvCase;on;9;on;2025;;xx_gd55ets
_____Hydrogen push_____;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
